epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,248.742,0.28789,0.27496,0.80903,0.9291,1,0.98021,0.94862,0.28323,0.31641,0.77496,0.0008318,0.0008318,0.0008318
61,252.531,0.32754,0.30549,0.81771,0.92598,1,0.98478,0.96249,0.26951,0.30702,0.77539,0.000812,0.000812,0.000812
62,255.78,0.28642,0.27591,0.81216,0.98555,1,0.995,0.9724,0.2783,0.25588,0.77628,0.0007922,0.0007922,0.0007922
63,260.682,0.3029,0.27809,0.80593,0.99421,1,0.995,0.99124,0.2323,0.24446,0.7709,0.0007724,0.0007724,0.0007724
64,264.81,0.29748,0.27592,0.82179,0.99675,1,0.995,0.96332,0.28906,0.25171,0.77522,0.0007526,0.0007526,0.0007526
65,268.168,0.29744,0.27991,0.82529,0.99558,1,0.995,0.97653,0.25691,0.23621,0.77263,0.0007328,0.0007328,0.0007328
66,272.05,0.29163,0.27311,0.81798,0.99501,1,0.995,0.98319,0.24832,0.2305,0.7704,0.000713,0.000713,0.000713
67,277.147,0.30005,0.27368,0.82283,0.99382,1,0.995,0.97855,0.2783,0.24377,0.77147,0.0006932,0.0006932,0.0006932
68,280.991,0.29588,0.26225,0.81164,0.9893,1,0.995,0.96813,0.2758,0.24238,0.7712,0.0006734,0.0006734,0.0006734
69,284.535,0.29658,0.26747,0.80942,0.99286,1,0.995,0.9691,0.26729,0.23688,0.76997,0.0006536,0.0006536,0.0006536
70,288.956,0.28483,0.26055,0.82005,0.99048,1,0.995,0.98061,0.25321,0.24521,0.76937,0.0006338,0.0006338,0.0006338
71,293.19,0.29251,0.26105,0.81543,0.99154,1,0.995,0.96351,0.26471,0.23437,0.77059,0.000614,0.000614,0.000614
72,296.937,0.27017,0.25361,0.81289,0.98812,1,0.995,0.97521,0.22499,0.23493,0.76685,0.0005942,0.0005942,0.0005942
73,300.624,0.26319,0.2402,0.82443,0.96181,1,0.99393,0.96346,0.24914,0.24802,0.76841,0.0005744,0.0005744,0.0005744
74,305.756,0.29249,0.26267,0.80631,0.96282,1,0.99393,0.97114,0.23258,0.2482,0.76959,0.0005546,0.0005546,0.0005546
75,309.343,0.26313,0.24269,0.81659,0.97294,1,0.995,0.97685,0.23587,0.24122,0.76674,0.0005348,0.0005348,0.0005348
76,313.054,0.24831,0.235,0.80464,0.98618,1,0.995,0.98343,0.23636,0.23962,0.76591,0.000515,0.000515,0.000515
77,318.071,0.25122,0.23826,0.80501,0.97638,1,0.995,0.99105,0.2237,0.23419,0.76825,0.0004952,0.0004952,0.0004952
78,321.696,0.27046,0.25388,0.81866,0.95849,1,0.995,0.98077,0.22754,0.26435,0.77195,0.0004754,0.0004754,0.0004754
79,325.156,0.2517,0.2484,0.8127,0.962,1,0.995,0.97604,0.22945,0.25532,0.77223,0.0004556,0.0004556,0.0004556
80,329.278,0.25743,0.24237,0.80682,0.98315,1,0.995,0.9794,0.23626,0.23264,0.77027,0.0004358,0.0004358,0.0004358
81,334.148,0.28395,0.24676,0.80424,0.99196,1,0.995,0.95753,0.25255,0.21992,0.77334,0.000416,0.000416,0.000416
82,337.312,0.28402,0.25077,0.80845,0.98725,1,0.995,0.98096,0.23962,0.21483,0.76994,0.0003962,0.0003962,0.0003962
83,341.503,0.26892,0.24377,0.81524,0.97783,1,0.995,0.98607,0.22145,0.22137,0.76856,0.0003764,0.0003764,0.0003764
84,346.473,0.25471,0.24349,0.80853,0.96353,1,0.995,0.98624,0.21762,0.2258,0.76623,0.0003566,0.0003566,0.0003566
85,350.202,0.23453,0.22953,0.79735,0.96349,1,0.995,0.98064,0.21315,0.23621,0.76613,0.0003368,0.0003368,0.0003368
86,353.622,0.2443,0.22549,0.79386,0.96359,1,0.995,0.98404,0.22351,0.2452,0.76688,0.000317,0.000317,0.000317
87,357.43,0.22988,0.2095,0.80313,0.95465,1,0.99393,0.98937,0.20149,0.24366,0.76653,0.0002972,0.0002972,0.0002972
